,our_shape_preds,our_preds_mfes,rnalib_shape_preds,rnalib_preds_mfes,seq_length,num_irs,num_variables,num_constraints,num_solver_iters,num_b_n_b_nodes,solution_time_msecs
804,...........((((((..............))))))......(((((.(((.................)))...........)))))......................,-7.839999854564667,...........((((((....((....))..))))))...((((.(((..((...(((.............)))...))..)))))))......................,-16.399999618530273,110,258,258,4343,5,1,172
805,..........(((((......(((((...(((((..))))).........)))))..))))).(((((((((.)))...(((((..))))))))))).............,-26.670000433921818,..........(((((.((.(((((((..((((((................)))))).)))))))...)).)))))....(((((........))))).............,-29.5,110,281,281,5213,142,1,311
806,((((((..(((((...(((.........((((.......))))...........))).))))).(((((......)))))).((((...........)))))..))))..,-14.419999847188592,((((....(((((...((((.(...((((((((.....)))))..)))...).)))).)))))....))))...........((((((..(((....)))..))))))..,-26.399999618530273,110,231,231,3574,46,1,163
807,...........(((.....(((((....))).....(((((((((())...........)))......((((......(((()))))....)))).....))))))))).,-17.60000017285347,..(((((......((((..(((((.((.((((....((((...((.((((((.....))))).).)).))))...)))))).)))))....))))......)))))....,-32.20000076293945,110,252,252,4538,94,1,225
808,....(((............)))((((.(((....)))......))))((((...((((.....((((.))))(((........))))..)))).........))).....,-16.539999961853027,((((.(((.....((((.((((((((.(((.((.......)).)))))))..(((((((........)))).)))(((...))))))).))))........))).)))).,-26.5,110,290,290,5224,78,1,247
809,((((..........((....)).(((((.........)))))......(((....((((....))).........((..((((..)))))).........))))))))..,-17.1100000590086,((((....((....(((((((((((((((.(((((((....((((...................))))..)))).))).))))).).))).))))))...))..))))..,-26.799999237060547,110,278,278,4760,57,1,202
810,............((((.((((....((((((((((.....(((....)))))......))).))))...))))))))).....(((........))).............,-14.110000014305115,..........(.((((.((((....((((((((.(......).))).)))))..........))))...)))).)........(((........))).............,-19.100000381469727,110,275,275,4640,63,1,211
811,..(((((.......)))))................(((.............((())).)))......((((((.....))))))..........................,-17.00000023841858,..((((...))))(((((.(((((......(((..((((..((.......)).))))..))).((((((((((.....))))))..))))...)).))).))))).....,-28.799999237060547,110,276,276,4822,42,1,211
812,(((((...........)))))............((((...))))...(((....)))((((................((((..........))))........))))...,-14.940000057220459,(((((...........)))))..........(((.(((.......))).)))..((.(((((...(((..((.....((((..........))))))..)))))))).)),-23.700000762939453,110,276,276,4732,20,1,184
813,...((((((........(((())))))...))))......................................((((.................(((....)))))))...,-12.899999797344208,...((((((.((.......))))))))....(((...)))............................((.(((((((...((........))....)).))))).))..,-16.0,110,252,252,4289,5,1,155
814,(((.(((()))..(((((..((((((...........(((.............)))))))).....))))))))))......((((....................)))),-16.130000114440918,((.((((..(.(((((.((.((((((.((...(.((((((.............))).))))...)))))))))).))))).)..))))..))..................,-23.700000762939453,110,278,278,4631,41,1,220
815,..........(((((.....((((.((((((((.......))))))))))))..((((((..)))))...))))))..((....))(((..............)))....,-21.920000433921814,......(((((((((.(..((((..((((((((((((...)))))))))))).))))..)..))))).......)))).....((.(((((.........)).))).)).,-37.099998474121094,110,275,275,4855,52,1,196
816,.......(((..............)))............((((.........((((((((..))).)))))....(((((......)))))...........))))....,-14.679999887943268,.....((((.(((((((((.((..(((..............)))....)).)))).)))))...)))).((((((((((((....)))))).........))))))....,-25.100000381469727,110,270,270,4478,49,1,198
817,..((((((..))........(((((((..........(((......)))(((((())))........................))))))........)))))))......,-16.31000006198883,((((...))))....((..((((((((.(..((....)).....((((.((((((.((((.(((..........))).)).))))))))..))))).))))))))..)).,-31.899999618530273,110,282,282,5061,98,1,256
818,.........(((......))).........((((....(((((((.....)))....)))).(((((((((...........))))......)))))......))))...,-16.01000013947487,........((((......))))........((((.((((((((((.....)))....)))).(((((.(.((.((((........))))))))))))...)))))))...,-25.0,110,288,288,5115,45,1,226
819,((((.((((...))))....(((((((((....)))))........((((.(((.....)))((((...))))))))...))))(((.........)))....))))...,-19.490000262856483,((((.(((...(((.....((((((........))))))...((..(((........)))..)))))...)))))))...((((.((((.(((....))).)))))))).,-27.0,110,283,283,4993,72,1,208
